first_pmt_cohort,day,apps,fpd_acct,fpd_dllr
2022-04-11,4,5,0.2,0.2625055704099822
2022-04-11,7,5,0.4,0.22583507015609275
2022-04-11,15,5,0.6,0.4387993695477717
2022-04-18,4,3,1,1
2022-04-18,7,3,0.6666666666666666,0.7190255567179794
2022-04-18,15,3,0.6666666666666666,0.7190255567179794
2022-04-25,4,23,0.43478260869565216,0.3751112123894963
2022-04-25,7,23,0.6521739130434783,0.5280729509662394
2022-04-25,15,23,0.6086956521739131,0.465352434242949
2022-05-02,4,40,0.35,0.30192018358809164
2022-05-02,7,40,0.35,0.3042067988341919
2022-05-02,15,40,0.25,0.24509412151114923
2022-05-09,4,62,0.4032258064516129,0.4021253045287175
2022-05-09,7,62,0.3870967741935484,0.40846458726327023
2022-05-09,15,62,0.3387096774193548,0.36355484536377386
2022-05-16,4,124,0.3870967741935484,0.3087308781201444
2022-05-16,7,124,0.4274193548387097,0.3811884254609806
2022-05-16,15,124,0.3548387096774194,0.30348196332600474
2022-05-23,4,196,0.12755102040816327,0.12875651451193176
2022-05-23,7,196,0.3826530612244898,0.3792212426288059
2022-05-23,15,196,0.3520408163265306,0.3391333148820184
2022-05-30,4,292,0.4075342465753425,0.367350358162625
2022-05-30,7,292,0.4006849315068493,0.37572105960205243
2022-05-30,15,292,0.3561643835616438,0.3334612478255254
2022-06-06,4,336,0.41369047619047616,0.3713689646631743
2022-06-06,7,336,0.41964285714285715,0.3589904661917631
2022-06-06,15,336,0.3898809523809524,0.32687395336973385
2022-06-13,4,364,0.3324175824175824,0.2962576889541389
2022-06-13,7,364,0.39285714285714285,0.31786978065007915
2022-06-13,15,364,0.3516483516483517,0.27257057752516417
2022-06-20,4,449,0.4209354120267261,0.37180486424752446
2022-06-20,7,449,0.43429844097995546,0.39495574081063267
2022-06-20,15,449,0.40311804008908686,0.36407753792203473
2022-06-27,4,554,0.13176895306859207,0.12187529518116413
2022-06-27,7,554,0.4007220216606498,0.32228302950698445
2022-06-27,15,553,0.37251356238698013,0.30475555674502824
2022-07-04,4,332,0.4367469879518072,0.4504977582774996
2022-07-04,7,332,0.4578313253012048,0.4589647752730487
2022-07-04,15,332,0.40963855421686746,0.38874078903051806
2022-07-11,4,283,0.4275618374558304,0.33957313828790675
2022-07-11,7,283,0.43462897526501765,0.3364181962717621
2022-07-11,15,283,0.38869257950530034,0.3105904340041286
2022-07-18,4,315,0.4444444444444444,0.40714688048093284
2022-07-18,7,315,0.43174603174603177,0.38251893411113774
2022-07-18,15,315,0.38095238095238093,0.3486742162749042
2022-07-25,4,334,0.38023952095808383,0.34922699129936063
2022-07-25,7,334,0.38323353293413176,0.3468714014988038
2022-07-25,15,332,0.3433734939759036,0.3046367010155926
2022-08-01,4,447,0.348993288590604,0.34320954297375
2022-08-01,7,446,0.3475336322869955,0.34541635914297086
2022-08-01,15,442,0.33031674208144796,0.32169831308670593
2022-08-08,4,259,0.3590733590733591,0.37723357213478265
2022-08-08,7,259,0.3745173745173745,0.4018968236954179
2022-08-08,15,259,0.33976833976833976,0.35055235767102993
2022-08-15,4,415,0.38313253012048193,0.3132366150757502
2022-08-15,7,415,0.4,0.32377348687573654
2022-08-15,15,415,0.3855421686746988,0.3244059757638911
2022-08-22,4,327,0.41896024464831805,0.3848104952344708
2022-08-22,7,327,0.41590214067278286,0.37777720703801765
2022-08-22,15,327,0.363914373088685,0.31981987958612573
2022-08-29,4,533,0.09193245778611632,0.10284625732321782
2022-08-29,7,532,0.3815789473684211,0.3781703147702726
2022-09-05,4,85,0.38823529411764707,0.34459831231169896
2022-09-05,7,13,0.38461538461538464,0.25389930433788854
