Date1,Date2,Days,acctrefno,application_id,multiply_to
2022-08-16,2022-09-13,-28,434805,220409014BMS,-1
2022-06-17,2022-09-13,-88,435362,2204110384OK,-1
2022-07-03,2022-09-13,-72,435455,22041104WRTX,-1
2022-06-30,2022-09-13,-74,435482,22041105K1FL,-1
2022-06-17,2022-08-31,75,435596,2204110777TX,1
2022-09-09,2022-09-13,-4,435596,2204110777TX,-1
2022-06-23,2022-09-13,-82,435818,220412026WTX,-1
2022-08-01,2022-09-13,-43,435885,22041203TJMI,-1
2022-06-23,2022-09-13,-82,435957,2204120506TX,-1
2022-07-01,2022-09-13,-74,436051,22041206GMAR,-1
2022-06-22,2022-07-06,14,436294,22041301XCMI,1
2022-07-13,2022-07-27,14,436294,22041301XCMI,1
2022-08-03,2022-08-10,7,436294,22041301XCMI,1
2022-08-31,2022-09-07,7,436294,22041301XCMI,1
2022-06-28,2022-09-13,-76,436368,22041303FGFL,-1
2022-07-01,2022-07-08,7,436418,22041304GGFL,1
2022-08-02,2022-08-04,2,436418,22041304GGFL,1
2022-07-06,2022-09-13,-69,436419,22041304KNLA,-1
2022-08-12,2022-09-13,-32,436439,220413053XOK,-1
2022-08-19,2022-08-26,7,436448,220413057LSC,1
2022-06-22,2022-09-13,-83,436720,22041302NBMO,-1
2022-07-03,2022-09-13,-72,436772,22041401W7AL,-1
2022-07-03,2022-09-13,-72,437016,22041406R6AL,-1
2022-07-14,2022-09-13,-61,437194,22041500PNFL,-1
2022-06-22,2022-09-13,-83,437214,220415011VIN,-1
2022-08-12,2022-09-13,-32,437251,22041501MSTN,-1
2022-06-24,2022-09-13,-81,437258,22041501P0TX,-1
2022-07-03,2022-09-13,-72,437427,22041505BHMO,-1
2022-07-01,2022-07-29,28,437705,22040402Z7TX,1
2022-08-12,2022-08-26,14,437705,22040402Z7TX,1
2022-08-03,2022-08-05,2,438115,220418016TSC,1
2022-07-12,2022-07-12,0,438372,22041806Y2TN,1
2022-08-23,2022-08-24,0,438372,22041806Y2TN,1
2022-08-30,2022-09-07,7,438372,22041806Y2TN,1
2022-06-24,2022-09-13,-81,438376,22041806YJFL,-1
2022-07-06,2022-09-13,-68,438519,220414075CFL,-1
2022-08-09,2022-09-13,-35,438595,2204190229TN,-1
2022-06-28,2022-09-13,-77,438763,22041905QBFL,-1
2022-07-01,2022-09-13,-74,438872,22041907F2MS,-1
2022-07-01,2022-09-13,-73,438984,22042000L9TN,-1
2022-06-30,2022-09-13,-75,439080,22042002GWTN,-1
2022-07-08,2022-09-13,-67,439207,22042004ZLSC,-1
2022-07-01,2022-09-13,-74,439256,22042005JWTX,-1
2022-07-07,2022-07-13,6,439335,220419060BFL,1
2022-09-01,2022-09-06,5,439335,220419060BFL,1
2022-07-01,2022-07-06,4,439510,220421012STN,1
2022-07-15,2022-08-18,34,439510,220421012STN,1
2022-09-12,2022-09-13,0,439510,220421012STN,-1
2022-07-01,2022-09-13,-74,439515,220421015RKY,-1
2022-07-08,2022-09-02,56,439532,22042101LLTN,1
2022-07-04,2022-09-13,-71,439654,2204210458MO,-1
2022-07-15,2022-09-13,-60,439984,22042200LZIN,-1
2022-07-06,2022-09-13,-68,440056,22042201RBFL,-1
2022-07-20,2022-09-13,-54,440101,22042202TXTN,-1
2022-07-08,2022-09-13,-67,441013,220425038KTX,-1
2022-07-07,2022-07-11,4,441175,22042506T1FL,1
2022-07-21,2022-08-04,14,441175,22042506T1FL,1
2022-09-01,2022-09-13,-12,441175,22042506T1FL,-1
2022-07-03,2022-09-13,-72,441230,22042507WSOK,-1
2022-07-08,2022-09-13,-67,441335,22040801V9TN,-1
2022-07-13,2022-09-13,-61,441364,220426015TSC,-1
2022-07-15,2022-07-15,0,441545,22042604XZSC,1
2022-07-29,2022-08-01,3,441545,22042604XZSC,1
2022-08-12,2022-08-15,3,441545,22042604XZSC,1
2022-09-09,2022-09-13,-4,441545,22042604XZSC,-1
2022-07-29,2022-09-13,-46,441814,22042701DGAL,-1
2022-08-23,2022-09-13,-20,441919,2204270449TX,-1
2022-07-15,2022-09-13,-60,442014,220427067XKY,-1
2022-08-19,2022-09-13,-25,442194,22042800PFMN,-1
2022-08-02,2022-09-13,-41,442463,22042806MCTN,-1
2022-07-08,2022-07-19,11,443583,22050200MJOK,1
2022-08-05,2022-08-08,3,443583,22050200MJOK,1
2022-08-01,2022-09-13,-43,443776,22050205PBTX,-1
2022-08-03,2022-08-09,6,444110,22050303CRIN,1
2022-07-19,2022-09-13,-55,444114,22050303LHMS,-1
2022-07-15,2022-09-13,-60,444199,22050305KVIN,-1
2022-07-19,2022-09-13,-55,444426,2204270108IN,-1
2022-07-22,2022-09-13,-53,444439,22050400QJSC,-1
2022-07-22,2022-08-22,31,444537,22050403BKMN,1
2022-09-02,2022-09-13,-11,444537,22050403BKMN,-1
2022-08-03,2022-09-13,-41,444606,220504050XAL,-1
2022-07-13,2022-09-13,-62,444662,220504064FTN,-1
2022-09-09,2022-09-13,-4,444667,220504062FTN,-1
2022-07-10,2022-07-18,8,444674,22050406FNTX,1
2022-07-24,2022-07-25,1,444674,22050406FNTX,1
2022-07-31,2022-08-01,1,444674,22050406FNTX,1
2022-08-07,2022-08-08,1,444674,22050406FNTX,1
2022-08-14,2022-09-13,-30,444674,22050406FNTX,-1
2022-07-19,2022-08-12,23,445330,22042700M9IN,1
2022-08-16,2022-09-13,-27,445330,22042700M9IN,-1
2022-07-15,2022-08-12,28,445350,2205060115TX,1
2022-07-28,2022-09-13,-47,446163,22050900WFFL,-1
2022-07-15,2022-08-12,28,446190,220509018VFL,1
2022-08-26,2022-09-09,14,446190,220509018VFL,1
2022-08-03,2022-09-13,-41,446253,22050902PQAL,-1
2022-07-18,2022-07-18,0,446359,220509052LTX,1
2022-08-10,2022-09-13,-33,446391,22050905RXLA,-1
2022-07-29,2022-09-13,-46,446841,22051005MFIN,-1
2022-07-18,2022-09-13,-57,446902,22051006MHIN,-1
2022-07-22,2022-09-13,-53,446916,22051006YQTN,-1
2022-08-30,2022-09-13,-13,447061,22051100M2FL,-1
2022-07-29,2022-09-13,-46,447152,22051102M6LA,-1
2022-08-03,2022-09-13,-40,447159,22051102N4AR,-1
2022-08-10,2022-09-13,-34,447264,22051104VDTX,-1
2022-08-22,2022-09-01,10,447285,22051105D0FL,1
2022-08-01,2022-09-13,-42,447295,220502038XFL,-1
2022-09-08,2022-09-13,-4,447315,22051105J4LA,-1
2022-07-20,2022-07-22,2,447565,220512022CFL,1
2022-08-05,2022-09-13,-39,447572,2205120269FL,-1
2022-07-29,2022-09-13,-46,447576,2205120227FL,-1
2022-07-29,2022-09-13,-46,447677,22051204PGSC,-1
2022-07-21,2022-09-13,-53,448006,22051301CYMI,-1
2022-09-06,2022-09-13,-6,448838,22051600ZDFL,-1
2022-08-04,2022-08-05,1,448862,22051601C5MI,1
2022-08-05,2022-08-12,7,448926,22051602SSSC,1
2022-08-19,2022-09-13,-25,448926,22051602SSSC,-1
2022-08-03,2022-09-13,-41,449268,22051700PRLA,-1
2022-07-28,2022-09-13,-47,449325,22051701VCTN,-1
2022-07-29,2022-08-05,7,449728,220518013SFL,1
2022-07-25,2022-09-13,-50,449821,22051802SPTX,-1
2022-08-16,2022-09-13,-27,449872,220518045KSC,-1
2022-08-05,2022-09-13,-39,450038,220518070RTX,-1
2022-07-28,2022-09-13,-47,450213,22051901LLFL,-1
2022-08-05,2022-09-13,-39,450492,22051907JVMI,-1
2022-07-29,2022-09-13,-46,450614,22052000G3FL,-1
2022-08-02,2022-09-13,-41,450649,220520015YTX,-1
2022-08-05,2022-09-13,-39,451590,220523015NFL,-1
2022-08-30,2022-09-13,-13,452475,22052500TGMI,-1
2022-08-11,2022-08-18,7,452488,220525010FTX,1
2022-08-25,2022-08-26,1,452488,220525010FTX,1
2022-09-08,2022-09-13,-5,452488,220525010FTX,-1
2022-09-07,2022-09-13,-5,453334,2205260817KY,-1
2022-08-17,2022-09-13,-26,453438,22051001BHMN,-1
2022-08-27,2022-09-13,-17,453538,22052702R5TX,-1
2022-09-09,2022-09-13,-4,454412,22053100MWNY,-1
2022-09-02,2022-09-13,-11,454633,22053106CNMS,-1
2022-08-19,2022-09-13,-25,454663,22053106MVMN,-1
2022-08-31,2022-09-13,-13,454819,22051100H4AR,-1
2022-08-11,2022-09-13,-33,454851,2206010117SC,-1
2022-09-01,2022-09-07,6,454852,220601011LWI,1
2022-08-12,2022-09-13,-32,454891,22060101XCMO,-1
2022-08-11,2022-09-13,-32,455048,220601058LMN,-1
2022-08-12,2022-08-26,14,455172,22060107DRTN,1
2022-09-02,2022-09-13,-11,455172,22060107DRTN,-1
2022-08-19,2022-09-13,-25,455305,220506025LMN,-1
2022-08-19,2022-09-13,-25,455338,220602016KOK,-1
2022-08-12,2022-09-13,-32,455854,220603014BMS,-1
2022-08-18,2022-09-13,-26,457023,2206060388SC,-1
2022-08-23,2022-09-13,-21,457070,220526054SMI,-1
2022-08-22,2022-09-13,-22,457400,22060700CYSC,-1
2022-08-24,2022-09-13,-20,457614,220607045MAR,-1
2022-08-25,2022-09-13,-19,457685,22060705F9FL,-1
2022-09-02,2022-09-13,-11,457963,22060800MGMO,-1
2022-08-22,2022-09-13,-22,457983,22060800WSFL,-1
2022-08-25,2022-09-13,-19,458153,220608049YIN,-1
2022-08-24,2022-09-13,-19,458471,22060900RFAL,-1
2022-08-30,2022-09-13,-13,458472,22060900TGLA,-1
2022-08-18,2022-09-13,-26,458738,22060905D8MS,-1
2022-08-19,2022-09-13,-25,458795,22060906BRFL,-1
2022-08-17,2022-08-24,7,458928,22060908FWWI,1
2022-08-31,2022-09-01,1,458928,22060908FWWI,1
2022-09-02,2022-09-13,-11,459032,220610013TAL,-1
