day,tranche,accts,balance,past_due_amt,amount_owed_to_dt,total_payments_amt
2022-04-27,8-14,2,1841.8574755908,59.92,59.92,0
2022-04-27,Current,3455,5257713.5666737165,56,180.33,2117.2
2022-04-28,1-7,4,8521.6880607604,196.55,210.24,45
2022-04-28,8-14,2,1843.6376494539,59.92,59.92,0
2022-04-28,Current,3561,5400290.379478318,81.68,149.02,2140.12
2022-04-29,1-7,4,7445.4570441766,160.22,183.56,45
2022-04-29,8-14,3,3589.8856144145,162.64,117.91,0
2022-04-29,Current,3601,5455193.776616071,293.99,217.85,2617.14
2022-04-30,1-7,11,14191.2342329603,299.7,102.46,81.28
2022-04-30,15-29,2,1847.1979971801,104.65,59.92,0
2022-04-30,8-14,2,4234.3411668522,139.09,139.09,0
2022-04-30,Current,3596,5439100.754354747,113.25,217.85,2580.86
2022-05-01,1-7,10,11770.6864859684,220.02,62.62,81.28
2022-05-01,15-29,2,1848.9781710432,104.65,59.92,0
2022-05-01,8-14,3,6672.7971631544,218.77,178.93,0
2022-05-01,Current,3593,5430447.096881671,155.27,217.85,2604.86
2022-05-02,1-7,13,14020.966026577,284.79,122.66,81.28
2022-05-02,15-29,2,1850.7583449063,104.65,59.92,0
2022-05-02,8-14,3,6679.2196526066,218.77,178.93,0
2022-05-02,Current,3666,5521779.39794831,134.84,254.43,2604.86
2022-05-03,1-7,14,15353.4552760822,306.43,387.71,81.28
2022-05-03,15-29,2,1852.5385187694,104.65,104.65,0
2022-05-03,8-14,3,6685.6421420588,218.77,178.93,0
2022-05-03,Current,3750,5608903.244406895,135.68,518.06,2673.81
2022-05-04,1-7,17,17557.7455706303,391.26,432.71,81.28
2022-05-04,15-29,2,1854.3186926325,104.65,104.65,0
2022-05-04,8-14,3,6692.064631511,218.77,218.77,0
2022-05-04,Current,3835,5714765.810384008,90.68,559.42,2738.29
2022-05-05,1-7,18,20003.2211250267,385.27,483.95,184.8
2022-05-05,15-29,2,1856.0988664956,104.65,104.65,0
2022-05-05,8-14,6,10016.5492536817,372.59,319.77,45
2022-05-05,Current,3904,5797148.942009336,72.4,468.2,3255.57
2022-05-06,1-7,16,19151.3136587393,450.31,485.02,155.35
2022-05-06,15-29,3,3614.0978129635,235.82,162.64,0
2022-05-06,8-14,7,10257.121545841,402.65,344.91,45
2022-05-06,Current,3940,5823709.285403205,223.08,518.72,4031.97
2022-05-07,1-7,12,15071.0468071125,261.64,299.95,207.42
2022-05-07,15-29,4,6122.4960798419,398.02,243.74,0
2022-05-07,8-14,15,16899.0763674176,571.84,491.47,51.83
